chartDate,rank,song_id,title,singer,lyric
1998,1,83721,Poison,엄정화,"널 뒤로한채 그냥 걸었어
미안해 하는 널 위해
참아온 눈물 보이기 싫어
나 먼저 일어선거야
오늘이 올 줄 알고 있었어
우리 사랑 끝나는 날
잘못된 우릴 하늘이
분명 용서할리 없으니까
그녀에게 미안하다고 전해줘
그녀의 행복을 내가 가졌으니
다신 이런 아픔을 남기지는마
나 하나로만 된거야
모두를 속여가며 사랑한
넌 더 힘들었니
이젠 꿈에서라도 나를 찾지마
난 니안에 없는거야
이대로 나를 잊고
돌아가 그녀품으로
내품에 안겨 울던 모습도
날 위한 연극이었니
너의 사랑은 나뿐이라고
그 말을 믿었었는데
사랑스런 미소와 따스한 눈길
이제는 그녀와 함께 나누겠지
다신 이런 아픔을 남기지는마
나 하나로만 된거야
모두를 속여가며 사랑한
넌 더 힘들었니
이젠 꿈에서라도 나를 찾지마
난 니안에 없는거야
이대로 나를 잊고
돌아가 그녀품으로
그래 누구나 한 사람만을
사랑해야 하는걸
이제 넌 그걸 잊지 말아줘"
1998,2,38547,그녀와의 이별,김현정,"이제 우리 정말 끝난거야
니가 다시 확인시켜줬지
그럴 필요까진 없었는데
마지막 자존심까지 무너졌어
나를 만나기전 헤어졌던
예전의 그녀에게서
너를 떠나달란 말을 듣게 했어
미안하단 말과 함께
믿지 않았어 그녀의
일방적인 얘기들
나를 속이며 그동안
만나왔단 얘기도
너를 사랑한 그녀의
거짓말이었기를
비참하게 난 끝까지
어리석게 널 믿어 버렸어
하지만 나의 마지막 기대마저도
모두 무너진 거야 술취해
또 다시 너를 찾아가
그녈 안아주는 너를 보았어
지금 내눈에 흐른 눈물은
너도 모른척 해줘
남겨진 미련도 없지만 모두
니가 가져 버려
며칠이 지났어 널 잊은줄 알았어
그런데 지금 니가 돌아오길
바라는 내가 미울뿐야
믿지 않았어 그녀의
일방적인 얘기들
나를 속이며 그동안
만나왔단 얘기도
너를 사랑한 그녀의
거짓말이었기를
비참하게 난 끝까지
어리석게 널 믿어 버렸어
하지만 나의 마지막 기대마저도
모두 무너진 거야 술취해
또 다시 너를 찾아가
그녈 안아주는 너를 보았어
지금 내눈에 흐른 눈물은
너도 모른척 해줘
남겨진 미련도 없지만 모두
니가 가져 버려
며칠이 지났어 널 잊은줄 알았어
그런데 지금 니가 돌아오길
바라는 내가 미울뿐야"
1998,3,77694,애상,쿨 (COOL),"알잖아 너를 이토록
사랑하며 기다린 나를
뭐가 그리 바쁜지
너무 보기 힘들어
넌 도대체 뭐하고 다니니
그게 아냐 이유는 묻지마
그냥 믿고 기다려 주겠니
내게도 사랑을 위한 시간이
필요해 널 받아들일 수 있게
일부러 피하는거니
삐삐쳐도 아무 소식없는 너
싫으면 그냥 싫다고
솔직하게 말해봐
말리지마 내 이런 사랑을
너만 보면 미칠것 같은 이 맘을
누가 알겠어 웨딩드레스 입은
네 곁에 다른 사람이
난 두려워 나보다 더 멋진
그런 남자 네가 만날까봐
아니야 그렇지 않아
정말 너 하나뿐야
속는 셈치고 한번 믿어봐
내 눈에는 너무 이쁜 그녀를
자랑스레 친구에게 보여줬지
친구 내게 미안하다며
그녀 얘길 싸그리 다 했지
그녈 만난 많은 남자 중에
내 친구만도 여러명이야
말도 안돼 믿을 수 없어 혹시 쌍둥이
우연히 너를 보았지
다른 남자 품안에 너를
한번도 볼 수 없었던
너무 행복한 미소
내 사랑은 무너져 버렸어
그게 아냐 변명이 아니라
그 남자는 나완 상관없어
잠시 나 어지러워서
기댄것 뿐이야
날 오해하진 말아줘
나 역시 많은 여자들
만났다가 헤어져도 봤지만
한꺼번에 많은 여자를
만난적은 없었어
네가 뭔데 날 아프게 하니
너 때문에 상처 돼버린 내 사랑
이제 다시는 너의 어떤 만남도
나 같은 사람 없을 걸
난 두려워 나 역시 다시는
이런 사랑 할 수 없을까봐
믿을 수 없겠지만은
네가 첫사랑인데
떠나버리면 어떡하라구
사랑까지는 바라지도 않을게
네 곁에 항상 있게만 해줘
제발 제발"
1998,4,77374,지킬 수 없는 약속,신승훈,"용서해 주겠니 너와의 약속
지킬수가 없어
니 모든걸 사랑하겠다는
지난날의 약속
니가 사랑하는 그 사람까진
사랑할순 없어
내가 먼저 이별을 말하고
너를 떠난다
생각나니 지난 우리의 사랑
지워버리기엔 너무 아름다웠잖아
너무 쉽게 날 잊어버리지는마
또 다른사랑에 행복하겠지만
한때는 너의전부였던 날 위해
사랑해 그래 떠나가라 너
없는 동안 내 모습
어떻게 되든지 상관없이
넌 살아 가겠지만
언젠가 돌아올 것 같은 널 위해
다른 사랑도 못하는
바보가 되버린 내 모습 잊지
않기를 바래
생각나니 지난 우리의 사랑
지워버리기엔 너무 아름다웠잖아
너무 쉽게 날 잊어버리지는마
또 다른사랑에 행복하겠지만
한때는 너의전부였던 날 위해
사랑해 그래 떠나가라 너
없는 동안 내 모습
어떻게 되든지 상관없이
넌 살아 가겠지만
언젠가 돌아올 것 같은 널 위해
다른 사랑도 못하는
바보가 되버린 내 모습 잊지
않기를 바래"
1998,5,1606672,애인이 생겼어요,터보,"Yeah
My Found My True Love
This Is The Story
왜 너만 보면 가슴이
콩닥콩닥 거릴까
왜 너만 보면 입술이
바싹바싹 마를까
왜 너만 보면 다리가
비틀비틀 거릴까
나 아무래도 너에게 빠졌나봐
니 곁에만 있으면
가슴이 마구 떨려 오는 걸
아무리 태연한 척 하려해 봐도
안절 부절인 걸
나를 아는 친구들
이상한 눈초리로 나를 봐
한번도 여자 앞에 이런 내모습
본적 없으니까
어쩌다 너와 눈빛이라도
마주칠때면
난 쑥스러워 피해 버렸고
네 향기로운 머리결 스칠때면
어쩔줄 몰랐지
이렇게 달라질 수 있을까
완전히 다른 사람처럼
하지만 나도 몰라
이런 내 모습
너무 행복한걸
이제야 나의 짝을 만나게 됐어
나 그동안 만났던 사람
진정한 사랑이 아닌듯
이제야 만나게 됐어
나의 진정한 사랑을
그 누가 무슨말을
내게 한다 해도
이제 넌 나의 짝이됐고
이런 우릴
인정하지 않는 다면
의절이야
너무 보고 싶어서
너 없는 아침이 난 싫었지
하지만 요즘엔 괜찮아
꿈에도 너를 만나니까
가끔 너를 못 봐도
이 만큼 참아 낼 수 있는건
이제는 눈 감아도 항상 니모습
볼 수 있으니까
처음엔 나보다는 너를 더
걱정했었지
또 금방 너를 떠날지몰라
그런데 날이 가면 갈수록
왜 그런지 내가 더 심각해
이렇게 달라질 수 있을까
완전히 다른 사람처럼
하지만 나도 몰라
이런 내 모습 너무 행복한걸
이렇게 달라져도 괜찮아
그 누가 어떤말을 해도
언제나 너만 생각하고
너만을 바라보고 싶어
내가 네 마지막이 될것 같아
널 생각하면 입가엔
히죽히죽 미소가
널 생각하면 온몸엔
삐질삐질 땀이나
널 생각하면 세상이
모두 내 것만 같아
널 생각하지 않을께
너를 보고 있을래"
1998,6,75068,Dreams Come True,S.E.S.,"내가 원하는 대로
자신 있는 모습 그대로
이제껏 숨겨 왔던 비밀을
네게 모두 말하고 싶어 baby
Funny how all dreams come true
나를 지켜줄거야
아껴왔던 작은 사랑도
Funny how I feel for you
너의 곁에 그려질
꿈결같은 나의 미래도
처음 느낌 그대로
짜릿했던 느낌 그대로
서로가 약속했던 것처럼
같은 생각 갖고 있었지 baby
Funny how all dreams come true
나를 지켜줄꺼야
아껴왔던 작은 사랑도
Funny how I feel for you
너 하나만 사랑해
Come on lover
언제나 둘이 함께
네가 있는 나 행복할 거에요
더 이상 슬픈 노래는
듣지 않을 거예요
내 맘을 알겠죠
Dreams come true
나를 지켜줄거야
아껴왔던 작은 사랑도
Funny how I feel for you
너의 곁에 그려질
꿈결같은 나의 미래도"
1998,7,38453,뻐꾸기 둥지위로 날아간 새,김건모,"도대체 왜 이럴까
누가 좀 말려줘봐
왜 자꾸 어두워만지면은
밖으로 나가는지 모르겠어
오늘은 또 어디서
누구를 또 만날까
분명히 어제처럼
별 볼일 없이 끝날테지만
오늘밤이 이 세상에서
마지막이 될 것처럼
혼신의 힘을 다해서
춤추고 노래해 한마리 새처럼
내가 혼자라는 외로움이
그 안에 다시 못 들어오게
비라도 내리게 하늘을 찔러봐
저기 맑은 하늘 모두 다가
너의 세상이니까
도대체 몇명인지
셀수도 없을만큼
오늘밤 그대 곁에 왔다가 스쳐간
여자들은 많겠지만
어떻게 오셨나요
누구랑 오셨나요
똑같은 얘기들을
하고 있는 넌 뻐꾸기 같아
오늘밤에 누구라도
자기 짝을 찾기위해
혼신의 힘을 다해서
춤추고 노래해
한마리 새처럼 그냥 잠시라도
내 안에서 함께 할
사랑 찾고 싶어서
시간이 갈수록 불안해 지지만
그렇다고 다시 어제처럼
혼자이긴 싫었어
깨어진 어둠에 아침이 오나봐
주윌 둘러보고 알게됐어
오늘도 역시 혼자라는 걸
다시 또 혼자야 오늘도 혼자야
저기 너무 맑은 하늘 위로
새가 되어 버린 너"
1998,8,489873,나나나,유승준,"난 그냥 되는 대로
살았었지
간섭받기 싫어 그냥 피했던거지
내일의 두려움도 필요 없어
그런 막막함에 내 시간만
좀먹었었어
그러다 내 어릴 적 꿈을 보았었지
거친 바람속 내 어릴 적
노랠 들었지
그래 이건 아니었어
용서할 수 없어
다시 나를 살린 이 노래를
불렀었지
기억하고 있니 어릴 적
예쁜 꿈들을
모두 다 이룰 수 있을 것
같던 시간들
소망을 꿈꾸며 주문을 외웠지
시간이 지나고 세상에
지쳐 갈 때쯤
꿈은 그저 꿈일 뿐인걸
알게 됐지만
어릴 적 주문을 아직 노래하네
언제나 힘들고 지칠때
날 일으켜주던 꿈이
가득한 이 노랠했어
나나나 나나나
나나나 나나나
나나나 나나나
나나나 나나나
어두워진 가리워진 나의
길을 밝혀주는
이 노래를 함께 해봐
어느 샌가 내게 찾아온
사랑을 위해
그렇게도 나를 애태운
그대를 위해
영원을 꿈꾸며 주문을 외웠지
피해갈수 없는 현실에
지쳐갈때쯤
무거워져 가는 걸음에
힘겨울때면
어릴적 주문을 노래 하곤 했지
언제나 힘들고 지칠때
날 일으켜주던 꿈이 가득한
이 노랠했어
나나나 나나나
나나나 나나나
나나나 나나나
나나나 나나나
어두워진 가리워진 나의 길을
밝혀주는
이 노래를 함께 해봐
자꾸만 어긋나 버리고
퇴색해 버리는 내 꿈을 지키고
싶었어 이기고 싶었어
누구도 가식의 가면을
버리지 않으려
끝끝내 발버둥 칠 때에 또
감추려 할때에
하늘에 새긴 내 어린 꿈들이
내 귓가에 들려준 이 노래 내
순수의 노래
키작은 아이의 함성과
내 사랑이 내게 들려준 이 노래
지켜갈 이 노래
언제나 힘들고 지칠때
날 일으켜주던 꿈이
가득한 이 노랠했어
나나나 나나나
나나나 나나나
나나나 나나나
나나나 나나나
초라하게 변해버린 나의
꿈을 밝혀주는
이 노래를 함께해봐
나나나 나나나
나나나 나나나
나나나 나나나
나나나 나나나
나나나 나나나
나나나 나나나
나나나 나나나
나나나 나나나"
1998,9,1839686,믿음,이소라,"힘든가요 내가 짐이 됐나요
마음을 보여줘요
안된대도 아무 상관없어요
내 마음만 알아줘요
다른 사람 친한
그댈 미워하는
나의 사랑이 모자랐나요
늘 생각해요
이것만 기억해요
우리가 헤어지면
다시는 이런 사랑 또 없을테니
내게 힘이 돼 줘요
난 기다려요
그대 난 영원해요
우는 내가 많이 지겨웠나요
그래요 이해해요
많은 밤이 지난
그대 후회되면
다시 내게로 돌아올테"
1998,10,38388,착한 사랑,김민종,"믿어지지 아니 믿을 수 없는
지금 이 순간을 기억해야 하나
사랑하고 있는 그대가
내 곁에서 떠나는 모습을
미안해서 내게 아무 말 없이
나를 버린거라 생각하고 나니
이해할 수 있어 그대를
사랑하니까 내 사랑이니까
울고있는 나는 내게 말했지
편안하게 지내야 한다고
나를 떠난 그대가
행복 할 수 있도록
어려워도 그래야 한다고
그대여 난 오늘도 너무
괴로워 하는 나를
달래보고 있지만
더 이상 견딜 수 없는 아픔에
살아 가는게 너무 힘들지만
하지만 사랑해요 난 그댈
울고있는 나는 내게 말했지
편안하게 지내야 한다고
나를 떠난 그대가
행복 할 수 있도록
어려워도 그래야 한다고
그대여 난 오늘도 너무
괴로워 하는 나를
달래보고 있지만
더 이상 견딜 수 없는 아픔에
살아 가는게 너무 힘들지만
하지만 사랑해요 난
그대여 난 오늘도 너무
괴로워 하는 나를
달래보고 있지만
더 이상 견딜 수 없는 아픔에
살아 가는게 너무 힘들지만
하지만 사랑해요 난 그댈"
