chartDate,rank,song_id,title,singer,lyric
2000,1,106212,아시나요,조성모,"아시나요 얼마나 사랑했는지
그댈 보면 자꾸 눈물이 나서
차마 그대 바라보지 못하고
외면해야 했던 나였음을
아시나요 얼마나 기다렸는지
그대 오가는 그 길목에 숨어
저만치가는 뒷모습이라도
마음껏 보려고 한참을 서성인
나였음을
왜 그런 얘기 못했냐고 물으신다면
가슴이 아파 아무 대답도 못하잖아요
그저 아무것도 그댄 모른채
지금처럼만 기억하면 돼요
우릴 그리고 나
아시나요 얼마나 힘겨웠는지
하고 싶은 말이 너무 많아서
듣지 못하는 병이라도 들면
그땐 말해 볼 수 있을까요
모르셨죠 이렇게 아픈 내 마음
끝내 모르셔도 난 괜찮아요
그댈 향한 그리움의 힘으로
살아왔던거죠
그대가 없으면 나도 없죠
몇 번을 다시 태어나고 다시 떠나도
그댈 만났던 이 세상 만한 곳은 없겠죠
여기 이 세상이 아름다운 건
그대가 머문 흔적들 때문에 아마
슬픈 오늘이
같은 하늘 아래 그대와 내가
함께 서 있는 마지막 날인걸
그댄 아시나요"
2000,2,1576735,다 줄거야 (Acoustic Ver.),조규만,"그대 내게 다가오는 그 모습
자꾸 다시 볼수 없을 것만 같아서
감은 두눈 뜨지 못한거야
너를 내게 보내준 걸 감사할뿐야
고마울 뿐야
많이 외로웠던거니 그동안
야워가는 너를 보며 느낄 수 있어
너무 힘이 들땐 실컷 울어
눈물속에 아픈기억 떠나보내게
내품에서
서글픈 우리의 지난 날들을
서로가 조금씩 감싸줘야해
난 네게 너무나도 부족하겠지만
다 줄꺼야 내 남은 모든 사랑을
많이 지쳐있던거야 그동안
자꾸 야워가는
너를 보며 느낄 수 있어
너무 힘이 들땐 실컷 울어
눈물속에 아픈기억 떠나보내게
내품에서
서글픈 우리의 지난 날들을
서로가 조금씩 감싸줘야 해
난 네게 너무나도 부족하지만
다 줄꺼야 내 남은 모든 사랑을
난 네게 너무나도 부족하지만
다 줄거야 내 남은 모든 사랑을"
2000,3,505165,Run To You,DJ DOC,"하나 투 원 투 쓰리 포
BOUNCE with me BOUNCE
with me
BOUNCE with me BOUNCE
BOUNCE with me BOUNCE
with me
BOUNCE with me BOUNCE
BOUNCE with me
BOUNCE with me
BOUNCE with me
BOUNCE with me
BOUNCE with me
BOUNCE with me
BOUNCE BOUNCE BOUNCE
BOUNCE
외로울땐 날불러 뭐가
니맘에 걸려
다른남자와 난 틀려 내게
전활걸어
아무리 우리 멀리 있어도
그 무엇이 날막고 있어도
갈 수 있어 너만 원한다면
달려가겠어 훨훨 날아가겠어
널 안아주겠어 내 모든걸
주겠어 주겠어
내 사랑을 받아줘 날
사랑한다 말해줘
Yeah Baby Yeah Baby
BOUNCE with me BOUNCE
with me
BOUNCE BOUNCE BOUNCE
BOUNCE
외로울땐 나를 불러 뭐가
니맘에 걸려
내가 원한다는걸 넌 알고 있잖아
I need you I want you
I'll run to you
Yeah Baby Yeah Baby
니 마음의 문을 열어
나를 허락해줘
니안에 니맘에 내가 들어
갈수있게
나의 사랑으로 채워줄게
나나나나나 나나나나나
나나나나나
BOUNCE with me BOUNCE
나나나나나 나나나나나
나나나나나
BOUNCE with me BOUNCE
with me
BOUNCE with me BOUNCE
BOUNCE with me BOUNCE
with me
BOUNCE with me BOUNCE
BOUNCE with me
BOUNCE with me
BOUNCE with me
BOUNCE with me
BOUNCE with me
BOUNCE with me
BOUNCE BOUNCE BOUNCE
BOUNCE
마주선 다가선 너와의
뜨거운 시선
피할 수 없어 내맘을
숨길수가 없어
느낄수가 있어 니가 원하는걸
이 시간을 기다려 왔어 이젠
널 갖겠어
Just two of us 우리 단 둘이서
하늘을 날았어 멈출수가 없었어
이 시간을 꿈꿔왔어 난
정말 원했어
Yeah Baby I want you
I need you run to you
외로울땐 나를 불러 뭐가
니맘에 걸려
내가 원한다는 걸 넌
알고 있잖아
I need you I want you I run
to you
Yeah Baby Yeah Baby
니 마음의 문을 열어 나를
허락해줘
니안에 니맘에 내가 들어
갈수 있게
너와 내가 하나 될수 있게
나나나나나 나나나나나
나나나나나
BOUNCE with me BOUNCE
나나나나나 나나나나나
나나나나나
BOUNCE with me BOUNCE
with me
BOUNCE with me BOUNCE
BOUNCE with me BOUNCE
with me
BOUNCE with me BOUNCE
BOUNCE with me
BOUNCE with me
BOUNCE with me
BOUNCE with me
BOUNCE with me
BOUNCE with me
BOUNCE BOUNCE BOUNCE
BOUNCE"
2000,4,10435,거짓말,god,"미안해
난 니가 싫어졌어 우리
이만 헤어져
다른 여자가 생겼어 너보다
훨씬 좋은
실망하지는 마 나 원래 이런
놈이니까
제발 더 이상 귀찮게 하지마
그래 이래야 했어 이래야만
했어 거짓말을 했어
내가 내가 결국 너를
울리고 말았어
하지만 내가 이래야만
나를 향한
너의 마음을 모두 정리할
수 있을 거라고 생각한
내 맘을 내 결정을 어쩔
수 없음을
이렇게 하지 않으면 니가
날 떠나지 않을 것임을
알기에 너무나도 잘 알기에
어쩔 수 없어 널 속일게
미안해 널 울릴게
잘 가 가지마 행복해 떠나지마
나를 잊어줘 잊고 살아가줘
나를 잊지마
나는 그래 나는 괜찮아 아프잖아
내 걱정은 하지 말고 떠나가
제발 가지마
왜 자꾸 날 따라와 싫다고
했잖아
다른 여자가 생겼다고 몇 번
말했잖아
너 자꾸 이러면 나 이제 정말
화낼거야
제발 너도 다른 사랑 찾아
왜 자꾸 이러니 왜 자꾸 날
힘들게 하니
니가 자꾸 이러면 내가 널
떠나 보내기가 힘들잖니
내가 어디가 좋니 이렇게
매일 고생만 시키잖니
그리고 너 정도면 훨씬 좋은
남자 얼마든지
사귈 수 있잖니 싫어 싫어
정신 차려 바보야 정신 차려 제발
다시 한번 말하지만 나는 이제
니가 정말 싫어
그러니 제발 돌아가 제발 저리가
난 니가 싫어 니가 정말 싫어
잘 가 가지마 행복해 떠나지마
나를 잊어줘 잊고 살아가줘
나를 잊지마
나는 그래 나는 괜찮아 아프잖아
내 걱정은 하지 말고 떠나가
제발 가지마
잘 가 가지마 행복해 떠나지마
나를 잊어줘 잊고 살아가줘
나를 잊지마
나는 그래 나는 괜찮아 아프잖아
내 걱정은 하지 말고 떠나가
제발 제발 가지마
잘가 행복해
나를 잊어줘 잊고 살아가줘
나를 잊으면 안돼
나는 그래 나는 괜찮아 아프잖아
내 걱정은 하지 말고 떠나가"
2000,5,91327,초련(初戀) (Techno Mix) (Feat. 윤진),클론,"난 그냥 좋았어 니 앞에만 서면
요즘 내가 왜 이러는지 나도 몰라
니 생각만 하고 자꾸 보고싶고
틈만 나면 난 너를 만나고 싶어
이런 맘 첨이야 누군가를 내가
주체하지 못할 만큼 좋아하는게
너와 약속하면 기분이 들떠
난 몇번씩 거울 앞을 서성이곤 해
길가다 멋진 옷을 볼때면 항상
언제나 너에게 다 사주고 싶고
사소한 악세사리까지 모두다
예쁜걸 보면 항상 너를 먼저 떠올려
바다가 보이는 분위기가 좋은
멋진 카페를 우연히 알게되도
제일 먼저 니 생각을 하면서 나는
빨리 너와 둘이서 다시 또 와봐야지
너에게 내가 아는 모든걸 해주고 파
말론 설명할수가 없어
내 눈엔 오직 너만 보여
내 자신 조차도 주체할 수 없는
이런 감정이 사랑인가봐
오레오레오 난 지금 웃고 있어
오레오레오 너만을 생각하며
오레오레오 언제나 니곁에서
오레오레오 너와 함께 할꺼야
난 너무 아쉬워 널 바래다줄땐
일부러 한 정거장 앞에서 내리지
너와 걷고 싶어 좀더 있고 싶어
이 밤이 깊어가는게 아쉬워서
집에 돌아오면 니 생각을 하며
어느새 난 또 너에게 전화를 걸어
할말도 없는데 이 얘기 저 얘기
몇 시간씩 또 너와 애길 나누지
햇살이 창가에 머무는 아침엔
눈뜨면 제일 먼저 널 생각하고
오늘은 널 만나 또 무엇을 할까
콧노랠 부르면서 즐겁게 샤워를 해
재미있는 영화를 보는게 더 날까
아니면 교외로 나가는게 날까
아니야 즐겁게 쇼핑을 즐기며
니가 깜짝 놀라게 선물을 사줘야지
숨겨둔 비상금을 모두 털어서라도
말론 설명할수가 없어
내 눈엔 오직 너만 보여
내 자신 조차도 주체할 수 없는
이런 감정이 사랑인가봐
오레오레오 난 지금 웃고 있어
오레오레오 너만을 생각하며
오레오레오 언제나 니곁에서
오레오레오 너와 함께 할꺼야"
2000,6,607552,가시나무,조성모,"내 속엔 내가 너무도 많아
당신의 쉴곳 없네
내 속엔 헛된 바램들로
당신의 편할곳 없네
내 속엔 내가 어쩔수 없는 어둠
당신의 쉴 자리를 뺏고
내 속엔 내가 이길수 없는 슬픔
무성한 가시나무 숲같네
바람만 불면 그 메마른 가지
서로 부대끼며 울어대고
쉴곳을 찾아 지쳐 날아온
어린 새들도 가시에 찔려 날아가고
바람만 불면 외롭고 또 괴로워
슬픈 노래를 부르던 날이 많았는데
내 속엔 내가 너무도 많아서
당신의 쉴곳 없네
바람만 불면 그 매마른 가지
서로 부대끼며 울어대고
쉴곳을 찾아 지쳐날아온
어린 새들도 가시에 찔려 날아가고
바람만 불면 외롭고
또 괴로워
슬픈 노래를 부르던
날이 많았는데
내 속엔 내가 너무도 많아서
당신의 쉴곳 없네"
2000,7,87695,흔들린 우정,홍경민,"아냐 이게 아닌데 왜 난 자꾸만
친구의 여자가 좋을까
이러면 안되지 하면서 왜
내맘속엔 온통 그녀 생각뿐일까
친구 몰래 걸려온 그녀의
전화가 난 왜 이리도 설레일까
냉정하게 거절하면 되는데 왜
난 그녀를 거절하지 못할까
정말 난 미치겠어 나도
나를 잘 모르겠어
오랜 친구와의 우정을 외면한 채
여자 땜에 흔들리는 게
너무나 괴로워 나만 포기하면 되는데
왜 난 고민할 가치도 없는 일을
이렇게 고민하고 있는지
미안해 내 친구야
잠시 너를 기만했던걸
지금까지 너에 대한 내 우정이
아직도 좀 모자란가봐
이해해줘 내 친구야 잠시 흔들렸던 우정을
누군가가 너와 나의 친구사일
질투해 시험했던거라
그렇게 생각해줘
뭐야 정말 이게 뭐야 왜 하필
난 친구의 여자가 좋을까
이러면 안되는줄 알면서 왜
항상 난 그녀에게 끌리는 걸까
친구와 그녀가 다퉜다는 얘길 듣고
왜 내가 웃는 걸까
말도 안돼는 상상을 하며 헛된 기댈
왜 난 자꾸하는것일까
정말 난 모르겠어 이런 내자신이 싫었어
내 욕심만 채우려 우정을
잠시 망각했던 내 자신이 싫었어
너무나 괴로워 마치 죄를 짓는 것 같아
이젠 모든걸다 잊고
난 친구 곁으로 돌아가야 하겠어
미안해 내 친구야
잠시 너를 기만했던걸
지금까지 너에 대한 내 우정이
아직도 좀 모자란가봐
이해해줘 내 친구야 잠시 흔들렸던 우정을
누군가가 너와 나의 친구사일
질투해 시험했던거라
그렇게 생각해줘"
2000,8,86668,나의 연인(我戀),임창정,"너를 알기 전에 나 어떻게 혼자 살아 왔을까
너 없는 세상 이렇게도 내게 눈물나는 행복
기다릴 줄은 몰랐어 너에게 모두 줄거야
너를 위한 건 무엇이든 제발 언제나 처음 내게 오던 날처럼
기쁨으로 내게 있어줘 이젠 나보다 너를 사랑한다는 그 말
모두 이해해 너무 사랑하니까
니가 웃음질때 난 더 크게 웃고
너 아플땐 난 더 아파
내 삶과 세상 모두가 밝게만 빛나 보여
힘든 하루도 너를 보면 견딜 수 있어
너에게는 웃는 나이길 내겐 아무도 없어
오직 너만이 나를 살게해 널 사랑한뒤
너를 느낄때 난 살아있어 너는 내 행복의 전부니까
제발 언제나 처음 내게 오던 날처럼 기쁨으로 내게 있어줘
이젠 나보다 너를 사랑한다는 그말 모두 이해해
너무 사랑하니까
제발 언제나 처음 내게 오던 날처럼
기쁨으로 내게 있어줘 이젠 나보다 너를 사랑한다는 그말
너에게 하고 싶어 너를 너무 사랑해"
2000,9,85674,영원,스카이,"너와의 행복했었던
또 아름다웠던 추억
우연히 지나친
그런 시간만은 아닐 거야
BREAK DOWN
이미 커져버린 내 빈자리의 주인은
이 세상의 하나뿐인 너 바로 너
항상 그래왔듯이 네가
내게 다가오기만을 기다린 나니깐
네가 없는 세상 속에서
혼자 눈뜬 아침이 너무 눈 부셔
이제껏 나 숨쉬고 있는 이유는 하나
걸어온 길이 너무도
쉽지 않았기 때문에
내 사랑은 늘 그래왔듯이
눈물만 남겨져
나 가진 것이 많아야
이룰 수 있는 건가봐
이제 사는 법을 알겠어
세상이 원하는 걸
다시 내 삶을 돌려 널 만난다면
널 잃지 않을거야
기다릴게 나 언제라도
저 하늘이 날 부를 때
한없이 사랑했던 추억만은 가져갈게
우리 다시 널 만난다면
유혹뿐인 이 세상에
나 처음 태어나서
몰랐다고 말을 할게
나 약속해
기다릴게 나 언제라도
저 하늘이 날 부를 때
한없이 사랑했던 추억만은 가져갈게
우리 다시 널 만난다면
유혹뿐인 이 세상에
나 처음 태어나서
몰랐다고 말을 할게
나 약속해"
2000,10,38426,멍,김현정,"너 나를 쉽게 봤어
그렇지 않니
너는 몰라 너무 몰라 사랑을
안돼 니 맘대로 나를
떠날 수 없어
끝낸다면 내가 끝내 기억해
잘못이었어 너를 만난건
너는 사랑따윈 관심도
없던 거야
다만 넌 니 뜻대로 모두 맞춰줄
너 하나 밖에 모르는 내가
필요했을 뿐
다 돌려놔 너를 만나기전에
내 모습으로
추억으로 돌리기엔 내
상처가 너무커
바랄게 다음번에 너 누굴
사랑한다면
너 같은 사람 꼭 만나기를
잘못이었어 너를 믿은건
우린 하나라던 그건 다 말뿐이야
여러번 나를 속인 것도 모자라
니 주변의 사람들과 나를
비교 했었지
다 돌려놔 너를 만나기전에
내 모습으로
추억으로 돌리기엔 내
상처가 너무커
바랄게 다음번에 너 누굴
사랑한다면
너 같은 사람 꼭 만나기를"
