chartDate,rank,song_id,title,singer,lyric
1997,1,38662,나를 슬프게 하는 사람들,김경호,"아무때고
네게 전활해
나야 하며
말을 꺼내도
누군지 한번에 알아낼
너의 단 한 사람
쇼윈도에 걸린
셔츠를 보면
제일 먼저 니가
떠올릴 사람
너의 지갑속에
항상 간직될 사람
네게 그런 사람이
나일 순 없는지
니 곁에 있는
내 친구가 아니라
언젠가 그가 너를
맘 아프게 해
너 혼자
울고있는 걸 봤어
달려가 그에게 나
이 말 해줬으면
그대가 울리는
그 한 여자가
내겐
삶의 전부라고
혼자서는 힘든
슬픔이 오면
제일 먼저
니가 찾아 줄 사람
너의 생일마다
꽃을 안겨 줄 사람
네게 그런 사람이
나일 순 없는지
니 곁에 있는
내 친구가 아니라
언젠가 그가 너를
맘 아프게 해
너 혼자
울고있는 걸 봤어
달려가 그에게  나
이 말 해줬으면
나의 일생을
모두 주어도
난 얻지 못하는
그녈 가진 그대라고
그녈 곁에 둔
이유만으로
다른 이 세상
누구보다
그댄
행복한거라고
언젠가 그가 너를
맘 아프게 해
너 혼자
울고있는 걸 봤어
달려가 그에게 나
이 말 해줬으면"
1997,2,70148,애송이의 사랑,양파,"잠 못 이룬 새벽 난 꿈을
꾸고 있어
흐느낀 만큼 지친 눈으로
바라본 우리의 사랑은
너의 미소처럼 수줍길 바래
조금만 더 가까이 내곁에
있어줘
널 사랑하는 만큼 기대
쉴 수 있도록
지친 어둠이 다시 푸른 눈 뜰때
지금 모습 그대로
uh baby 제발 내 곁에 있어줘
잃어버린 만큼 자유롭다는 걸
세상은 쉽게 잊으려 해
소중한 우리의 바램이
다시 피어날 그 날을 꿈꾸며
조금만 더 가까이
내곁에 있어줘
We can reach the
other side
If we hold on to the
passion
지친 어둠이 다시 푸른
눈 뜰때
Getting closer day
by day
uh baby 제발 내 곁에 있어줘
만들고 싶진 않아 세상이
바라는 걸
우리만의 미랠 만들거야
작지만 소중한 꿈을 위해
조금만 더 가까이
내곁에 있어줘
널 사랑하는 만큼 기대
쉴 수 있도록
지친 어둠이 다시 푸른 눈 뜰때
지금 모습 그대로
uh baby 제발 내 곁에 있어
지금 이대로 내 곁에 있어줘
널 사랑하는 만큼 기대
쉴 수 있도록
지친 어둠이 다시 푸른 눈 뜰때
지금 모습 그대로
uh baby 제발 내 곁에 있어줘
Baby 내 곁에 있어줘"
1997,3,69198,영원,조관우,"힘없이 내 품에 안긴채
그렇게 날 떠났지
어느 하늘을 보고 울어야
가슴에 묻힌 널 만날까
때론 잊으려 했지
너의 바램도 그럴테니
하지만 이길 수 없는 아픔을
먼저 떠나간 니가 알리 없잖아
미안해 이젠 갈께 너를 따라서
더 이상의 인연 없는
비틀린 세상 등지고
받아줘 너를 잃곤 살 수 없는 난
처음부터 내 인생에
넌 마지막 연인이니까
너를 사랑하는 길
그건 잊어주는 거라고
하지만 감추지 못해 흐르던
너의 눈물까지 잊을수는 없잖아
미안해 이젠 갈께 너를 따라서
더 이상의 인연 없는
비틀린 세상 등지고
받아줘 너를 잃곤 살 수 없는 난
처음부터 내 인생에
넌 마지막 연인이니까"
1997,4,91534,그녀는 예뻤다,박진영,"그녀는 너무 예뻤어
하늘에서 온 천사였어
그녀를 난 사랑했어
우리들은 행복했어
그런 그녀 날 떠났고
나는 혼자 남겨졌고
그녈 잊어 보겠다고
애썼지만
그녀는 너무 예뻤다
그래서 더 슬펐다
하늘에 별은 빛났다
나는 울었다
그녀는 너무 예뻤어
하늘에서 온 천사였어
그녀를 난 사랑했어
우리들은 행복했어
그런 그녀 날 떠났고
나는 혼자 남겨졌고
그녈 잊어 보겠다고
애썼지만
그녀는 너무 예뻤다
그래서 더 슬펐다
하늘에 별은 빛났다
나는 울었다
123 and to the 4 get your
riggidy wiggidy
rumping butts up on
the floor
and move to the groove
move to the groove we
go up and down
you`re spinning around
with your hands in the
air and feet on the ground
jump jump to the rhythm
as I pump up the flow
step upto bass and the
boom here we go
그녀는 너무 예뻤다
그래서 더 슬펐다
하늘에 별은 빛났다
나는 울었다"
1997,5,38394,아름다운 구속,김종서,"오늘 하루 행복하길
언제나 아침에 눈뜨면
기도를 하게 돼
달아날까 두려운 행복 앞에
널 만난 건 행운이야
휴일에 해야 할 일들이
내게도 생겼어
약속하고 만나고 헤어지고
조금씩 집 앞에서
널 들여 보내기가
힘겨워지는 나를 어떡해
처음이야 내가 드디어 내가
사랑에 난 빠져 버렸어
혼자인 게 좋아
나를 사랑했던 나에게
또 다른 내가 온 거야
아름다운 구속인걸
사랑은 얼마나
사람을 변하게 하는지
살아있는 오늘이 아름다워
조금씩 집 앞에서
널 들여 보내기가
힘겨워지는 나를 어떡해
처음이야 내가 드디어 내가
사랑에 난 빠져버렸어
혼자인게 좋아
나를 사랑했던 나에게
또 다른 내가 온거야
처음이야 내가 드디어 내가
사랑에 난 빠져버렸어
혼자인게 좋아
나를 사랑했던 나에게
또 다른 내가 온거야
또 다른 내가 온거야
내 앞에 니가 온거야"
1997,6,526820,그때 또 다시 (Again),임창정,"니가 없는데도 해는
뜨고 또 지고
창 너머 세상은 하나
변한게 없어
삼켰었던 내 슬픔이
갑자기 터져 왔어
내가 살고 싶던 삶이란
이게 아닌걸
아마도 운명이 나를
잘 몰랐기에
우리의 인연을 엇갈리게 했나봐
이 세상에서 나에게
허락되지 않은 건
함께 있고 싶은 사람과
함께 있는 것
하지만 난 사랑했잖아
살아 있었던 거야
네 곁에서 함께 했던 날 동안
그걸로 됐어 나를 완전히
태울 수 있었던
축복을 내게 줬으니
참아 볼게 잊어도 볼게
널 위해서 라면
허나 그래도 안되면
기다릴게 그때 또 다시
온 몸에 품어도 바람은
흘러가고
밤 새워 지켜도 꽃은
시들겠지만
하늘 아래 니가 있어
오늘도 난 눈부셔
널 향한 마음엔 시작만
있는 이유로
하지만 난 사랑했잖아
살아 있었던거야
네 곁에서 함께 했던 날 동안
그걸로 됐어 나를 완전히
태울 수 있었던
축복을 내게 줬으니
참아 볼게 잊어도 볼게
널 위해서 라면
허나 그래도 안되면 기다릴게
그때 또 다시
나를 떠나도 그걸로 됐어
나를 완전히 태울 수 있었던
축복을 내게 줬으니
참아 볼게 잊어도 볼게
널 위해서 라면
허나 그래도 안되면 기다릴게
그때 또 다시"
1997,7,48914,가족,이승환,"밤늦은 길을 걸어서
지친 하루를 되돌아 오면
언제나 나를 맞는 깊은 어둠과
고요히 잠든 가족들
때로는 짐이 되기도 했었죠.
많은 기대와 실망때문에
늘 곁에 있으니
늘 벗어나고도 싶고
어떡해야 내가 부모님의
맘에 들 수가 있을지 모르고
사랑하는 나의 마음들을
그냥 말하고 싶지만
어색하기만 하죠.
힘겨운 하루를 보낸
내 가족들의 낮은 숨소리엔
어린 날 보살펴 주던
내 누이의 고마운 추억이 있죠.
가족이어도 알 수 없는 얘기
따로 돌아누운 외로움이 슬프기만 해요.
아무 이유도 없는데
심술궂게 굴던 나를 위해
항상 참아주던 나의 형제들
사랑하는 나의 마음들을
그냥 말하고 싶지만 어색하기만 하죠
힘이 들어 쉬어가고 싶을때면 나 의 위로가 될
그때의 짐 이제의 힘이 된 고마운 사람들.
어떡해야 내가 부모님의
맘에 들 수가 있을지 모르고
사랑하는 나의 마음들을
그냥 말하고 싶지만 어색하기만 하죠
사랑해요 우리 고마워요 모두
지금껏 날 지켜준 사랑
행복해야 해요 아픔없는 곳에 영원히 함께해요
사랑해요 우리 고마워요 모두
지금 껏 날 지켜준 사랑
행복해야 해요 아픔없는 곳에
영원히 함께해 야 해요
사랑해요 우리
고마워요 모두
지금껏 날 지켜준 사랑"
1997,8,73896,Remember,포지션,"나 한심해 보여도
나름대로 많이 생각한거야
날 사랑했었다고
자신있게 말할 필요는 없어
누가 먼저 이별하는 것이
자존심을 지키는 거니
이젠 필요없잖아
내가 아닌 다른 누구를
넌 사랑하고 있는데
모든게 거짓처럼 내게 들릴뿐
미안하단 말은 하지마
날 위해 떠난다는
그 말 한마디
끝까지 얘기하진 말아줘
하지만 난 너를
위해 준비한거야
이젠 나는 떠날수 있어
내가 먼저 이런
얘기 하고 싶은건
널 잊기 위해서니까
너무나도 미안한듯 하며
다른생각 하고 있는 널
그냥 볼순 없잖아
내가 아닌 다른 누구를
넌 사랑하고 있는데
모든게 거짓처럼
내게 들릴 뿐
미안하단 말은 하지마
날 위해 떠난다는
그 말 한마디
끝까지 얘기하진 말아줘
하지만
난 너를 위해 준비한거야
이제 나는 떠날 수 있어
내가 먼저 이런
얘기 하고 싶은건
널 잊기 위해서
하지만
난 너를 위해 준비한거야
이젠 너를 보낼수 있어
내가 먼저 이런
얘기 하고 싶은건
난 이제 사랑은 싫어"
1997,9,1839666,기억해줘,이소라,"기억해줘 널 위해 준비한
오늘 이별이 힘들었단 걸 잊지마
니 가슴에 기대어 자던 많은 날 안녕
이전처럼 그대로 너에게
돌아오라면 받아들일 수 있지만
달라진 날 기대한다면
이제 그만 끝내
내가 잘못한거니 너무 사랑한거니
미안해 니가 나의 마음 알겠니
미워하지마 이해해줘
나 때론 이유없이 너를 괴롭게 해
늘 확인하려 했지만
어떻게 해도 변함없는 너의 얼굴
지쳐 외면하고도 싶었어
더 이상 나 참을 수 없기에
끊는 전화라도 걸어보고 싶지만
달라진 것 없는 나라면 해서는 안돼
내가 잘못한거니 너무 사랑한거니
미안해 니가 나의 마음 알겠니
미워하지마 이해해줘
이제 나의 사랑 알겠니
미워하지마 기억해"
1997,10,1622523,괜찮아,녹색지대,"널 언제까지 기다려야
나에게 올런지
그저 멀리서 널 바라와 왔지만
날 언제까지 힘들게 할
너일지는 몰라도
널 품에 안던 그날만은 기억해
알고 있어 친구들에게 들었어
그와 헤어졌다고
그래서 힘들어 한다고
네가 외로울 때
그땐 나를 생각해
아직 난 그대로야
지금껏 널 원해왔어
자 괜찮아 이젠 그대로
내게 와줘
날 아프게 했던 만큼
사랑해 주면 돼
난 괜찮아 정말 남은 건
너의 맘뿐
지금 그대로 나의 품에 안겨봐
알고 있어 친구들에게 들었어
그와 헤어졌다고
그래서 힘들어 한다고
네가 외로울 때
그땐 나를 생각해
아직 난 그대로야
지금껏 널 원해왔어
자 괜찮아 이젠 그대로
내게 와줘
날 아프게 했던 만큼
사랑해 주면 돼
난 괜찮아 정말 남은 건
너의 맘뿐
지금 그대로 나의 품에 안겨봐
예전 그대로 나의 품에 다시"
