chartDate,rank,song_id,title,singer,lyric
2002,1,191093,No.1,보아 (BoA),"어둠속에 니 얼굴 보다가
나도 몰래 눈물이 흘렀어
소리 없이 날 따라오며 비춘건
Finally 날 알고 감싸 준거니
처음 내 사랑 비춰 주던 넌
나의 이별까지 본거야
You're still my No.1
날 찾지 말아줘 나의 슬픔 가려줘
저 구름 뒤에 너를 숨겨 빛을 닫아줘(닫아줘)
그를 아는 이 길이 내 눈물 모르게
변한 그를 욕하진 말아줘
니 얼굴도 조금씩 변하니까
But I miss you 널잊을 수 있을까
(Want you back in my life, I want you back in my life)
나의 사랑도 지난 추억도 모두 다 사라져 가지만
You're still my No.1
보름이 지나면 작아지는 슬픈 빛
날 대신해서 그의 길을 배웅 해 줄래(해줄래)
못다 전한 내 사랑 나처럼 비춰줘
가끔 잠든 나의 창에 찾아와 그의 안불 전해 줄래
나 꿈결 속에서 따뜻한 그의 손
느낄 수 있도록
huh~ doo doo doo~
하지만 오늘밤 날 찾지 말아줘
나의 슬픔 가려줘
저 구름뒤에 너를 숨겨 빛을 닫아줘(닫아줘)
그를 아는 이 길이 내 눈물 모르게
보름이 지나면 작아 지는 슬픈 빛
날 대신해서 그의 길을 배웅 해줄래(해줄래)
못다 전한 내 사랑
You're still my No.1 (you're still my No1)"
2002,2,313559,우린 제법 잘 어울려요,성시경,"우린 제법 잘 어울려요
저기 그대가 보이네요 오늘도 같은 시간이죠
언제나 조금 젖은 머리로 날 스쳐가죠
살짝 미소지은 건가요 혹시 날 알아 챈 건가요
아침을 닮은 그대 향기가 날 사로잡죠
난 궁금한 게 많죠 그대 이름 그대의 목소리
온 종일 상상해요 그대 곁에 날
정말 서두르진 않을 거예요 한 걸음 한 걸음씩 그대가 나를 느끼게
사랑을 시작할까요 내일 아침 어쩌면
말할지도 모르죠 우리 한 번 만나 볼래요
물기 어린 나무 사이로 햇살이 부서지는 거리
투명한 그대 얼굴이 왠지 좋아 보여요
기분 좋은 일이 있나요 가벼워 보이는 발걸음
살며시 부는 바람을 타고 난 다가가죠
참 망설였었지만 오늘은 꼭 얘기할래요 눈이 참 예쁘다고 좋아한다고
조금 서투르고 어색하지만 천천히 알아가요 그렇게 시작해봐요
거 봐요 웃을 거면서 내 마음을 알면서
잘 해낼 수 있겠죠 우린 제법 잘 어울려요
정말 서두르진 않을 거예요 한 걸음 한 걸음씩 그대가 나를 느끼게
사랑을 시작할까요 그대 곁엔 언제나
내가 있어줄게요 변치 않을 거예요 우린 제법 잘 어울려요"
2002,3,316434,Never Ending Story,부활,"손 닿을 수 없는 저기 어딘가
오늘도 난 숨쉬고 있지만
너와 머물던 작은 의자 위에
같은 모습의 바람이 지나네...
너는 떠나며 마치 날 떠나가듯이
멀리 손을 흔들며
언젠가 추억에 남겨져 갈 꺼라고
그리워하면 언젠가 만나게 되는
어느 영화와 같은 일들이 이뤄져 가기를...
힘겨워 한 날의 너를 지킬 수 없었던
아름다운 시절속에 머문 그대 이기에
너는 떠나며 마치 날 떠나가듯이
멀리 손을 흔들며
언젠가 추억에 남겨져 갈 꺼라고
그리워하면 언젠가 만나게 되는
어느 영화와 같은 일들이 이뤄져 가기를...
힘겨워 한 날의 너를 지킬 수 없었던
아름다운 시절속에 머문 그대여
그리워하면 언젠가 만나게 되는
어느 영화와 같은 일들이 이뤄져 가기를...
힘겨워 한 날의 너를 지킬수 없었던
아름다운 시절속에 머문 그대여
그리워하면 언젠가 만나게 되는
어느 영화와 같은 일들이 이뤄져 가기를...
힘겨워 한 날의 너를 지킬 수 없었던
아름다운 시절속에 머문 그대이기에..."
2002,4,500962,비몽,코요태,"Long gone every time
I close my eyes
See you one more time
So long say goodbye come on
see more time Let's start
난 나나나 나나나 나나나나
난 나나나
난 나나 나나나나
난 나나나 난나나 나나나나
난 나나나 난 나나나
움직일수 없어 너의 모습앞에
너무도 달라진 표정
차가운 말투와 날 피하는 눈빛
예전에 네가 아니야
이유라도 대봐 내가 알 수 있게
왜 나를 떠나려는지
마음 약한 내가 쓰러져 울 것을
누구보다 알면서
단 한 번만 나의 모습을 되돌아봐 줘
멈춰버린 내 가슴은 또 어떻게 해
이대로 가지마 남겨진 기억
어떡하라고
흐르는 눈물도 버려진 슬픔도
왜 그냥 두고가
그런 말 하지마
행복하기를 바란다는말
평생을 울어도 상처로 남겨질
내 맘 알잖아
Can't move 차가운 너의 말투
나를 피하려고 애써 I got you
내게 다 주고 넌 아주 먼 곳에서
나를 놔주려해 I want you
내게 다시 돌아와 떠나지마
마지막 한 번만 나를 쳐다봐
이건 꿈일 거야 sad dream뿐이야
내게 남긴 상처 Please stop
난 나나나 나나나 나나나나
난 나나나
난 나나 나나나나
난 나나나 난나나 나나나나
난 나나나 난 나나나
이건 꿈일 거야 분명 아닐거야
아무리 위로해봐도
자꾸 멀어지는 너의 뒷모습에
난 다시 눈물 뿐야
사랑했던 그 순간만은 진심이었길
누굴 향해 냉정하게 또 가는 거야
이대로 가지마 남겨진 기억
어떡하라고
흐르는 눈물도 버려진 슬픔도
왜 그냥 두고가
그런 말 하지마
행복하기를 바란다는말
평생을 울어도 상처로 남겨질
내 맘 알잖아
난 나나나 나나나 나나나나
난 나나나
난 나나 나나나나
난 나나나 난나나 나나나나
난 나나나 난 나나나"
2002,5,430228,좋은사람,박효신,"좋은사람
준비없이 비를 만난것처럼
아무말 못한채 너를 보낸뒤에
한동안 취한 새벽에 잠을 청하며
너를 그렇게 잊어보려했어
시간이가도 잊혀지지 않는 널
생각하면서 깨달은게있어
좋은사람 사랑했었다면
헤어져도 슬픈게 아니야
이별이 내게 준것은
곁에 있을때 보다
너를 더욱 사랑하는 맘
셀수없이 많은 날을 울면서
힘든가슴을 보이지 않았던 널
끝내 날 나쁜남자로 만들었던 널
어떻게든 미워하려했어
어떤말로도 미워할수없는 널
생각하면서 깨달은게있어
좋은사람 사랑했었다면
헤어져도 슬픈게 아니야
이별이 내게 준것은
조금 멀리떨어져
너를 헤아릴수 있는 맘
늦었겠지만 너의 맘 아프게했던
바보같은 날 용서해줘
단 한번만 허락해준다면
나를 믿고 돌아와준다면
언제나 말하곤했던
그런 사람이되어
너를 지켜주고싶은데
다시 돌아올순 없겠니"
2002,6,62619,사랑 Two,윤도현,"나의 하루를 가만히 닫아주는 너
은은한 달빛따라
너의 모습 사라지고
홀로 남은 골목길엔
수줍은 내 마음만
나의 아픔을 가만히 안아 주는 너
눈물 흘린 시간 뒤엔
언제나 네가 있어
상처받은 내 영혼에
따뜻한 네 손길만
처음엔 그냥 친군줄만 알았어
아무 색깔없이 언제나 영원하길
또 다시 사랑이라 부르진 않아
아무 아픔없이 너만은 행복하길
워우워우 예예
널 만나면 말없이 있어도
또 하나의 나처럼 편안했던거야
널 만나면 순수한 네 모습에
철없는 아이처럼 잊었던거야
내겐 너무 소중한 너
내겐 너무 행복한 너
처음엔 그냥 친군줄만 알았어
아무 색깔없이 언제나 영원하길
또 다시 사랑이라 부르진 않아
아무 아픔없이 너만은 행복하길
워우워우 예예
널 만나면 말없이 있어도
또 하나의 나처럼 편안했던거야
널 만나면 순수한 네 모습에
철없는 아이처럼 잊었던거야
널 만나면 말없이 있어도
또 하나의 나처럼 편안했던거야
널 만나면 순수한 네 모습에
철없는 아이처럼 잊었던거야
내겐 너무 소중한 너
내겐 너무 행복한 너"
2002,7,111413,...안 되나요... (부제: 화양연화),휘성 (Realslow),"너무 힘들어요
다른 사람 곁에 그대가 있다는 게
처음 그댈 본 난
휠씬 그전부터 이미 그랬을 텐데
어쩌면 헤어질 지 몰라
힘겨운 기대를 해봐도
단 한번 힘들어 하는 표정 없이
행복해 하는 그대가 싫어요
안되나요 나를 사랑하면
조금 내 마음을 알아주면 안돼요
아니면 그 사람 사랑하면서
살아가도 돼요
내 곁에만 있어 준다면
하루는 울고 있는 그대
멀리 서 지켜 본적이 있죠
그렇게 울다 지쳐서 그 사람과
이별하게 되길 기도 하면서
안되나요 그대 이별하면
이제 그 자리에 내가 가면 안돼요
아니면 그 사람 사랑하면서
살아가도 돼요
내 곁에만 있어 준다면
힘들 그대 모습 생각해 보면
애써 그대 때문에
아픈 나를 만나지만 우우
사랑 할 수 없는 그대를 보면
너무 아픈 가슴 다 쓰러져만 가는데
안되나요 나를 사랑하면
조금 내 마음을 알아 주면 안돼요
아니면 나를 그 사람이라고
생각해도 돼요
그대만 내게 있으면
그대만 있어 준다면"
2002,8,500797,미워도 다시 한번 (Original Ver.),바이브,"잘 지내고 있는 거겠죠
좀 처럼 연락이 없네요
요즘 많이 바쁜가봐요
이미 다른 사람 품에 안긴 너인데
나 미워도 다시 한번만
나 싫어도 다시 한번만
내 꿈속에 나타나줘요
이미 돌아올 수 없을만큼 떠난 너인데
I need U baby bye bye bye
가야만하니 why why why
그 모든 말은 lie lie lie
오늘도 눈물 나는게
슬퍼서 bye bye bye
가야만하니 why why why
의외로 참아내기가
힘이들어 돌아와줘
미워도 다시 한번만
어쩌면 많이 변했겠지
어쩔 수가 없겠지
아직도 나를 용서할 수 없겠지
내가 미쳤었나봐 너무 늦었나봐
다시는 너를 볼 수가 없나봐
왜 자꾸만 멀어지는건데
왜 자꾸만 잊혀지는건데
이렇게 너무 쉽게 헤어졌 다는게
믿을 수 없어 견딜 수가 없어
비오는 명동을 걸었죠
그대 생각이 많이 나네요
이런 생각하면 바보 같지만
저기 먼곳에서 그대 다시 올 것만 같아
I need U baby bye bye bye
가야만 하니 why why why
그 모든 말은 lie lie lie
오늘도 눈물 나는게
슬퍼서 bye bye bye
가야만 하니 why why why
의외로 참아 내기가
힘이 들어 돌아와줘
미워도 다시 한번만
하지만 그댈 잊어야만 하는 나 우-
I miss U baby bye bye bye
영원히 그대 bye bye bye
가야만 하니 why why why
그 모든 말은 lie lie lie
i miss U baby girl
너무 많이 보고 싶어요
오 제발 이런 나를 용서해줘요
미워도 다시 한번만 -"
2002,9,489210,Last Scene,롤러 코스터,"나는 아무 말도 못했다
그 자리에 그냥 서있다
니가 하는 말이 무슨 뜻 인지를
한참 후에서야 알았다
그래 모든 것은 변했다
변하지 않는 건 없었다
내가 있는 곳에 너는 없다는 걸
한참 후에서야 알았다
다행히도 시간은 흐르고
아무렇지않게 너의
이름을 말하고
이제는 다 지난 얘기라고
큰 소리로 웃어보기도 하고
나 답지도 않은 말을 하고
사람들은 내가 변했다고 해
그래 모든 것은 변했다
변하지 않는 건 없었다
내가 있는 곳에 너는 없다는 걸
한참 후에서야 알았다
다행히도 시간은 흐르고
아무렇지않게 너의
이름을 말하고
이제는 다 지난 얘기라고
큰 소리로 웃어보기도 하고
나 답지도 않은 말을 하고
사람들은 내가 변했다고
그러다 어떤 날은 화가 나고
큰 소리로 울어 보기도 하고
넌 더 힘들꺼라 상상해도
아무것도 달라지는 건 없어
이제는 다 지난 얘기라고
큰 소리로 웃어보기도 하고
나 답지도 않은 말을 하고
사람들은 내가 변했다고
그러다 어떤 날은 화가 나고
큰 소리로 울어 보기도 하고
넌 더 힘들꺼라 상상해도
아무것도 달라지는 건 없어"
2002,10,103858,아로하,쿨 (COOL),"어두운 불빛 아래 촛불 하나
와인 잔에 담긴 약속 하나
항상 너의 곁에서 널 지켜줄꺼야
날 믿어준 너였잖아
나 바라는 건 오직 하나
영원한 행복을 꿈꾸지만
화려하지 않아도 꿈같지 않아도
너만 있어주면 돼
걱정 마 I Believe
언제나 I Believe
이 순간을 잊지 않을께
내 품에 I Believe
안긴 너의 미소가
영원히 빛을 잃어 가지 않게
Cause your love is so sweet
You are my everything
첫 날밤의 단 꿈에 젖어
하는 말이 아냐
난 변하지 않아
오직 너만 바라볼꺼야
You're light of my life
You're the one in my life
내 모든걸 다 잃는데도
후회하지 않아 오직 너를 위한
변하지 않는 사랑으로
이제 나에게 있어 가장 소중한 건
내가 아닌 당신입니다
말로는 다짐할 수 없지만
당신만을 사랑합니다
때로는 친구처럼 때로는 연인처럼
눈 감는 그 날까지
당신만을 사랑합니다
늘 하나라는 마음으로
흔들리지 않는 믿음으로
아픈 마음도 함께 기쁜 맘도 함께
나눠 가졌으면 해
약속해 I Believe
힘들 때 I Believe
너의 그늘이 되어줄께
내 품에 I Believe
안긴 너의 미소가
영원히 빛을 잃어 가지 않게
Cause your love is so sweet
You are my everything
첫날밤의 단 꿈에 젖어
하는 말이 아냐
난 변하지 않아
오직 너만 바라볼 꺼야
You're light of my life
You're the one in my life
내 모든 걸 다 잃는데도
후회하지 않아
오직 너를 위한
변하지 않는 사랑으로
You're light of my life
You're the one in my life
내 모든걸 다 잃는데도
후회하지 않아
오직 너를 위한
변하지 않는 사랑으로
All I ever want is your love"
